Order_ID,Agent_Age,Agent_Rating,Store_Latitude,Store_Longitude,Drop_Latitude,Drop_Longitude,Weather,Traffic,Vehicle,Area,Delivery_Time,Category,Year,Month,Day,Weekday,Order_Hour,Pickup_Hour
ialx566343618,37,4.9,22.745049,75.892471,22.765049,75.912471,Sunny,High,motorcycle ,Urban ,120,Clothing,2022,3,19,5,11.0,11
akqg208421122,34,4.5,12.913041,77.683237,13.043041,77.813237,Stormy,Jam,scooter ,Metropolitian ,165,Electronics,2022,3,25,4,19.0,19
njpu434582536,23,4.4,12.914264,77.6784,12.924264,77.6884,Sandstorms,Low,motorcycle ,Urban ,130,Sports,2022,3,19,5,8.0,8
rjto796129700,38,4.7,11.003669,76.976494,11.053669,77.026494,Sunny,Medium,motorcycle ,Metropolitian ,105,Cosmetics,2022,4,5,1,18.0,18
zguw716275638,32,4.6,12.972793,80.249982,13.012793,80.289982,Cloudy,High,scooter ,Metropolitian ,150,Toys,2022,3,26,5,13.0,13
fxuu788413734,22,4.8,17.431668,78.408321,17.461668,78.438321,Cloudy,Jam,motorcycle ,Urban ,130,Toys,2022,3,11,4,21.0,21
njmo150975311,33,4.7,23.369746,85.33982,23.479746,85.44982,Fog,Jam,scooter ,Metropolitian ,200,Toys,2022,3,4,4,19.0,19
jvjc772545076,35,4.6,12.352058,76.60665,12.482058,76.73665,Cloudy,Medium,motorcycle ,Metropolitian ,160,Snacks,2022,3,14,0,17.0,17
uaeb808891380,22,4.8,17.433809,78.386744,17.563809,78.516744,Stormy,Jam,motorcycle ,Metropolitian ,170,Electronics,2022,3,20,6,20.0,21
bgvc052754213,36,4.2,30.327968,78.046106,30.397968,78.116106,Fog,Jam,motorcycle ,Metropolitian ,230,Toys,2022,2,12,5,21.0,22
vmau710398846,21,4.7,10.003064,76.307589,10.043064,76.347589,Stormy,High,motorcycle ,Metropolitian ,115,Cosmetics,2022,2,13,6,14.0,15
lcwn330553507,23,4.7,18.56245,73.916619,18.65245,74.006619,Sandstorms,Medium,scooter ,Metropolitian ,105,Shoes,2022,3,4,4,17.0,17
wcjs752046999,34,4.3,30.899584,75.809346,30.919584,75.829346,Sandstorms,Low,motorcycle ,Metropolitian ,100,Apparel,2022,2,13,6,9.0,9
blhl288691670,24,4.7,26.463504,80.372929,26.593504,80.502929,Fog,Jam,scooter ,Metropolitian ,205,Jewelry,2022,2,14,0,19.0,20
zyvo118176215,29,4.5,19.176269,72.836721,19.266269,72.926721,Sandstorms,Jam,van,Metropolitian ,100,Outdoors,2022,4,2,5,20.0,20
uhfs888375680,35,4.0,12.311072,76.654878,12.351072,76.694878,Windy,High,scooter ,Metropolitian ,33,Grocery,2022,3,1,1,14.0,15
vmfv999642595,33,4.2,18.592718,73.773572,18.702718,73.883572,Sandstorms,Jam,motorcycle ,Metropolitian ,200,Cosmetics,2022,3,16,2,20.0,20
qfgc848777135,34,4.9,17.426228,78.407495,17.496228,78.477495,Cloudy,Jam,motorcycle ,Metropolitian ,205,Snacks,2022,3,20,6,20.0,20
vwmc439983136,21,4.7,22.552672,88.352885,22.582672,88.382885,Windy,Jam,motorcycle ,Urban ,75,Jewelry,2022,2,15,1,21.0,21
ntzy027061451,25,4.1,18.563934,73.915367,18.643935,73.995367,Sandstorms,Jam,motorcycle ,Metropolitian ,180,Toys,2022,3,16,2,20.0,20
pbjm971961647,31,4.7,23.357804,85.325146,23.487804,85.455146,Sandstorms,Low,van,Metropolitian ,130,Books,2022,3,10,3,22.0,22
kjic578711491,37,5.0,11.003669,76.976494,11.013669,76.986494,Sandstorms,Low,motorcycle ,Metropolitian ,100,Clothing,2022,3,11,4,8.0,8
